NODE_ID,FLOOR,AISLE,COLUMN,__DEPOT__,n00001,n00002,n00003,n00004,n00005,n00006,n00007,n00008,n00009,n00010,n00011,n00012,n00013,n00014,n00015,n00016,n00017,n00018,n00019,n00020,n00021,n00022,n00023,n00024,n00025,n00026,n00027,n00028,n00029,n00030,n00031,n00032,n00033,n00034,n00035,n00036,n00037,n00038,n00039,n00040,n00041,n00042,n00043,n00044,n00045,n00046,n00047,n00048,n00049,n00050,n00051,n00052,n00053,n00054,n00055,n00056,n00057,n00058,n00059,n00060,n00061,n00062,n00063,n00064,n00065,n00066,n00067,n00068,n00069,n00070,n00071,n00072,n00073,n00074,n00075,n00076,n00077,n00078,n00079,n00080,n00081,n00082,n00083,n00084,n00085,n00086,n00087,n00088,n00089,n00090,n00091,n00092,n00093,n00094,n00095,n00096,n00097,n00098,n00099,n00100,n00101,n00102,n00103,n00104,n00105,n00106,n00107,n00108,n00109,n00110,n00111,n00112,n00113,n00114,n00115,n00116,n00117,n00118,n00119,n00120,n00121,n00122,n00123,n00124,n00125,n00126,n00127,n00128,n00129,n00130,n00131,n00132,n00133,n00134,n00135,n00136,n00137,n00138,n00139,n00140,n00141,n00142,n00143,n00144,n00145,n00146,n00147,n00148,n00149,n00150,n00151,n00152,n00153,n00154,n00155,n00156,n00157,n00158,n00159,n00160,n00161,n00162,n00163,n00164,n00165,n00166,n00167,n00168,n00169,n00170,n00171,n00172,n00173,n00174,n00175,n00176,n00177,n00178,n00179,n00180,n00181,n00182,n00183,n00184,n00185,n00186,n00187,n00188,n00189,n00190,n00191,n00192,n00193,n00194,n00195,n00196,n00197,n00198,n00199,n00200,n00201,n00202,n00203
n00163,MZN1,15,16,73.29,91.92,89.02,86.12,77.42,71.62,83.22,71.62,94.04,91.14,88.24,85.34,82.44,79.54,76.64,73.74,70.84,67.94,70.84,73.74,79.54,73.74,67.94,78.76,75.86,67.16,64.26,70.06,75.86,70.06,64.26,80.88,77.98,75.08,72.18,69.28,66.38,63.48,60.58,63.48,66.38,72.18,69.28,63.48,80.1,71.4,62.7,59.8,56.9,65.6,62.7,59.8,76.42,70.62,67.72,64.82,61.92,59.02,56.12,53.22,56.12,59.02,61.92,64.82,61.92,59.02,56.12,53.22,72.74,69.84,58.24,52.44,52.44,58.24,61.14,55.34,49.54,69.06,66.16,63.26,60.36,54.56,48.76,45.86,48.76,51.66,54.56,57.46,54.56,51.66,48.76,45.86,68.28,65.38,44.3,60.92,58.02,49.32,46.42,40.62,37.72,34.82,37.72,40.62,43.52,46.42,43.52,37.72,54.34,51.44,48.54,45.64,42.74,36.94,34.04,31.14,34.04,36.94,39.84,39.84,36.94,34.04,53.56,50.66,47.76,41.96,39.06,36.16,33.26,30.36,30.36,33.26,36.16,33.26,30.36,27.46,41.18,38.28,35.38,32.48,29.58,26.68,23.78,26.68,29.58,32.48,35.38,32.48,29.58,23.78,43.3,40.4,37.5,34.6,31.7,28.8,25.9,23,20.1,14.5,11.6,8.7,2.9,0,46.98,44.08,38.28,35.38,32.48,29.58,26.68,26.68,29.58,35.38,32.48,26.68,53.56,50.66,47.76,44.86,41.96,39.06,36.16,33.26,27.46,30.36,33.26,36.16,39.06,36.16,30.36,57.24,51.44,48.54,39.84,36.94,34.04,31.14,34.04,36.94,42.74,39.84,36.94,34.04
n00164,MZN1,16,2,26.31,69.5,72.4,75.3,84,84,95.6,107.2,60.02,62.92,65.82,68.72,71.62,74.52,77.42,80.32,83.22,80.32,83.22,86.12,91.92,97.72,103.52,67.94,70.84,79.54,76.64,82.44,88.24,94.04,99.84,58.46,61.36,64.26,67.16,70.06,72.96,75.86,72.96,75.86,78.76,84.56,87.46,93.26,51.88,60.58,69.28,72.18,69.28,83.78,86.68,89.58,48.2,54,56.9,59.8,62.7,65.6,68.5,65.6,68.5,71.4,74.3,77.2,80.1,83,85.9,88.8,44.52,47.42,59.02,64.82,64.82,70.62,73.52,79.32,85.12,40.84,43.74,46.64,49.54,55.34,61.14,58.24,61.14,64.04,66.94,69.84,72.74,75.64,78.54,81.44,34.26,37.16,50.88,26.9,29.8,38.5,41.4,47.2,50.1,47.2,50.1,53,55.9,58.8,61.7,67.5,26.12,29.02,31.92,34.82,37.72,43.52,46.42,43.52,46.42,49.32,52.22,58.02,60.92,63.82,19.54,22.44,25.34,31.14,34.04,36.94,39.84,42.74,42.74,45.64,54.34,57.24,60.14,63.04,24.56,27.46,30.36,33.26,36.16,39.06,36.16,39.06,41.96,44.86,47.76,50.66,53.56,59.36,15.08,17.98,20.88,23.78,26.68,29.58,32.48,35.38,32.48,32.48,35.38,38.28,44.08,46.98,0,2.9,8.7,11.6,14.5,17.4,20.3,31.7,34.6,40.4,43.3,49.1,12.18,15.08,17.98,20.88,23.78,26.68,29.58,32.48,32.48,35.38,38.28,41.18,44.08,46.98,52.78,15.86,21.66,24.56,33.26,36.16,39.06,36.16,39.06,41.96,47.76,50.66,53.56,56.46
n00165,MZN1,16,3,29.21,72.4,75.3,78.2,86.9,81.1,92.7,104.3,62.92,65.82,68.72,71.62,74.52,77.42,80.32,83.22,80.32,77.42,80.32,83.22,89.02,94.82,100.62,70.84,73.74,76.64,73.74,79.54,85.34,91.14,96.94,61.36,64.26,67.16,70.06,72.96,75.86,72.96,70.06,72.96,75.86,81.66,84.56,90.36,54.78,63.48,72.18,69.28,66.38,80.88,83.78,86.68,51.1,56.9,59.8,62.7,65.6,68.5,65.6,62.7,65.6,68.5,71.4,74.3,77.2,80.1,83,85.9,47.42,50.32,61.92,61.92,61.92,67.72,70.62,76.42,82.22,43.74,46.64,49.54,52.44,58.24,58.24,55.34,58.24,61.14,64.04,66.94,69.84,72.74,75.64,78.54,37.16,40.06,53.78,29.8,32.7,41.4,44.3,50.1,47.2,44.3,47.2,50.1,53,55.9,58.8,64.6,29.02,31.92,34.82,37.72,40.62,46.42,43.52,40.62,43.52,46.42,49.32,55.12,58.02,60.92,22.44,25.34,28.24,34.04,36.94,39.84,42.74,39.84,39.84,42.74,51.44,54.34,57.24,60.14,27.46,30.36,33.26,36.16,39.06,36.16,33.26,36.16,39.06,41.96,44.86,47.76,50.66,56.46,17.98,20.88,23.78,26.68,29.58,32.48,35.38,32.48,29.58,29.58,32.48,35.38,41.18,44.08,2.9,0,5.8,8.7,11.6,14.5,17.4,28.8,31.7,37.5,40.4,46.2,15.08,17.98,20.88,23.78,26.68,29.58,32.48,35.38,29.58,32.48,35.38,38.28,41.18,44.08,49.88,18.76,24.56,27.46,36.16,39.06,36.16,33.26,36.16,39.06,44.86,47.76,50.66,53.56
n00166,MZN1,16,5,35.01,78.2,81.1,84,81.1,75.3,86.9,98.5,68.72,71.62,74.52,77.42,80.32,83.22,80.32,77.42,74.52,71.62,74.52,77.42,83.22,89.02,94.82,76.64,79.54,70.84,67.94,73.74,79.54,85.34,91.14,67.16,70.06,72.96,75.86,72.96,70.06,67.16,64.26,67.16,70.06,75.86,78.76,84.56,60.58,69.28,66.38,63.48,60.58,75.08,77.98,80.88,56.9,62.7,65.6,68.5,65.6,62.7,59.8,56.9,59.8,62.7,65.6,68.5,71.4,74.3,77.2,80.1,53.22,56.12,61.92,56.12,56.12,61.92,64.82,70.62,76.42,49.54,52.44,55.34,58.24,58.24,52.44,49.54,52.44,55.34,58.24,61.14,64.04,66.94,69.84,72.74,42.96,45.86,47.98,35.6,38.5,47.2,50.1,44.3,41.4,38.5,41.4,44.3,47.2,50.1,53,58.8,34.82,37.72,40.62,43.52,46.42,40.62,37.72,34.82,37.72,40.62,43.52,49.32,52.22,55.12,28.24,31.14,34.04,39.84,42.74,39.84,36.94,34.04,34.04,36.94,45.64,48.54,51.44,54.34,33.26,36.16,39.06,36.16,33.26,30.36,27.46,30.36,33.26,36.16,39.06,41.96,44.86,50.66,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,23.78,26.68,29.58,35.38,38.28,8.7,5.8,0,2.9,5.8,8.7,11.6,23,25.9,31.7,34.6,40.4,20.88,23.78,26.68,29.58,32.48,35.38,32.48,29.58,23.78,26.68,29.58,32.48,35.38,38.28,44.08,24.56,30.36,33.26,36.16,33.26,30.36,27.46,30.36,33.26,39.06,41.96,44.86,47.76
n00167,MZN1,16,6,37.91,81.1,84,86.9,78.2,72.4,84,95.6,71.62,74.52,77.42,80.32,83.22,80.32,77.42,74.52,71.62,68.72,71.62,74.52,80.32,86.12,91.92,79.54,76.64,67.94,65.04,70.84,76.64,82.44,88.24,70.06,72.96,75.86,72.96,70.06,67.16,64.26,61.36,64.26,67.16,72.96,75.86,81.66,63.48,72.18,63.48,60.58,57.68,72.18,75.08,77.98,59.8,65.6,68.5,65.6,62.7,59.8,56.9,54,56.9,59.8,62.7,65.6,68.5,71.4,74.3,77.2,56.12,59.02,59.02,53.22,53.22,59.02,61.92,67.72,73.52,52.44,55.34,58.24,61.14,55.34,49.54,46.64,49.54,52.44,55.34,58.24,61.14,64.04,66.94,69.84,45.86,48.76,45.08,38.5,41.4,50.1,47.2,41.4,38.5,35.6,38.5,41.4,44.3,47.2,50.1,55.9,37.72,40.62,43.52,46.42,43.52,37.72,34.82,31.92,34.82,37.72,40.62,46.42,49.32,52.22,31.14,34.04,36.94,42.74,39.84,36.94,34.04,31.14,31.14,34.04,42.74,45.64,48.54,51.44,36.16,39.06,36.16,33.26,30.36,27.46,24.56,27.46,30.36,33.26,36.16,39.06,41.96,47.76,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,20.88,23.78,26.68,32.48,35.38,11.6,8.7,2.9,0,2.9,5.8,8.7,20.1,23,28.8,31.7,37.5,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,20.88,23.78,26.68,29.58,32.48,35.38,41.18,27.46,33.26,36.16,33.26,30.36,27.46,24.56,27.46,30.36,36.16,39.06,41.96,44.86
n00168,MZN1,16,7,40.81,84,86.9,84,75.3,69.5,81.1,92.7,74.52,77.42,80.32,83.22,80.32,77.42,74.52,71.62,68.72,65.82,68.72,71.62,77.42,83.22,89.02,76.64,73.74,65.04,62.14,67.94,73.74,79.54,85.34,72.96,75.86,72.96,70.06,67.16,64.26,61.36,58.46,61.36,64.26,70.06,72.96,78.76,66.38,69.28,60.58,57.68,54.78,69.28,72.18,75.08,62.7,68.5,65.6,62.7,59.8,56.9,54,51.1,54,56.9,59.8,62.7,65.6,68.5,71.4,74.3,59.02,61.92,56.12,50.32,50.32,56.12,59.02,64.82,70.62,55.34,58.24,61.14,58.24,52.44,46.64,43.74,46.64,49.54,52.44,55.34,58.24,61.14,64.04,66.94,48.76,51.66,42.18,41.4,44.3,47.2,44.3,38.5,35.6,32.7,35.6,38.5,41.4,44.3,47.2,53,40.62,43.52,46.42,43.52,40.62,34.82,31.92,29.02,31.92,34.82,37.72,43.52,46.42,49.32,34.04,36.94,39.84,39.84,36.94,34.04,31.14,28.24,28.24,31.14,39.84,42.74,45.64,48.54,39.06,36.16,33.26,30.36,27.46,24.56,21.66,24.56,27.46,30.36,33.26,36.16,39.06,44.86,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,17.98,17.98,20.88,23.78,29.58,32.48,14.5,11.6,5.8,2.9,0,2.9,5.8,17.2,20.1,25.9,28.8,34.6,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,17.98,20.88,23.78,26.68,29.58,32.48,38.28,30.36,36.16,39.06,30.36,27.46,24.56,21.66,24.56,27.46,33.26,36.16,39.06,41.96
n00169,MZN1,16,8,43.71,86.9,84,81.1,72.4,66.6,78.2,89.8,77.42,80.32,83.22,80.32,77.42,74.52,71.62,68.72,65.82,62.92,65.82,68.72,74.52,80.32,86.12,73.74,70.84,62.14,59.24,65.04,70.84,76.64,82.44,75.86,72.96,70.06,67.16,64.26,61.36,58.46,55.56,58.46,61.36,67.16,70.06,75.86,69.28,66.38,57.68,54.78,51.88,66.38,69.28,72.18,65.6,65.6,62.7,59.8,56.9,54,51.1,48.2,51.1,54,56.9,59.8,62.7,65.6,68.5,71.4,61.92,64.82,53.22,47.42,47.42,53.22,56.12,61.92,67.72,58.24,61.14,58.24,55.34,49.54,43.74,40.84,43.74,46.64,49.54,52.44,55.34,58.24,61.14,64.04,51.66,54.56,39.28,44.3,47.2,44.3,41.4,35.6,32.7,29.8,32.7,35.6,38.5,41.4,44.3,50.1,43.52,46.42,43.52,40.62,37.72,31.92,29.02,26.12,29.02,31.92,34.82,40.62,43.52,46.42,36.94,39.84,42.74,36.94,34.04,31.14,28.24,25.34,25.34,28.24,36.94,39.84,42.74,45.64,36.16,33.26,30.36,27.46,24.56,21.66,18.76,21.66,24.56,27.46,30.36,33.26,36.16,41.96,32.48,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,15.08,17.98,20.88,26.68,29.58,17.4,14.5,8.7,5.8,2.9,0,2.9,14.3,17.2,23,25.9,31.7,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,15.08,17.98,20.88,23.78,26.68,29.58,35.38,33.26,39.06,36.16,27.46,24.56,21.66,18.76,21.66,24.56,30.36,33.26,36.16,39.06
n00170,MZN1,16,9,46.61,84,81.1,78.2,69.5,63.7,75.3,86.9,80.32,83.22,80.32,77.42,74.52,71.62,68.72,65.82,62.92,60.02,62.92,65.82,71.62,77.42,83.22,70.84,67.94,59.24,56.34,62.14,67.94,73.74,79.54,72.96,70.06,67.16,64.26,61.36,58.46,55.56,52.66,55.56,58.46,64.26,67.16,72.96,72.18,63.48,54.78,51.88,48.98,63.48,66.38,69.28,68.5,62.7,59.8,56.9,54,51.1,48.2,45.3,48.2,51.1,54,56.9,59.8,62.7,65.6,68.5,64.82,61.92,50.32,44.52,44.52,50.32,53.22,59.02,64.82,61.14,58.24,55.34,52.44,46.64,40.84,37.94,40.84,43.74,46.64,49.54,52.44,55.34,58.24,61.14,54.56,57.46,36.38,47.2,50.1,41.4,38.5,32.7,29.8,26.9,29.8,32.7,35.6,38.5,41.4,47.2,46.42,43.52,40.62,37.72,34.82,29.02,26.12,23.22,26.12,29.02,31.92,37.72,40.62,43.52,39.84,42.74,39.84,34.04,31.14,28.24,25.34,22.44,22.44,25.34,34.04,36.94,39.84,42.74,33.26,30.36,27.46,24.56,21.66,18.76,15.86,18.76,21.66,24.56,27.46,30.36,33.26,39.06,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,12.18,15.08,17.98,23.78,26.68,20.3,17.4,11.6,8.7,5.8,2.9,0,11.4,14.3,20.1,23,28.8,32.48,35.38,32.48,29.58,26.68,23.78,20.88,17.98,12.18,15.08,17.98,20.88,23.78,26.68,32.48,36.16,36.16,33.26,24.56,21.66,18.76,15.86,18.76,21.66,27.46,30.36,33.26,36.16
n00171,MZN1,16,12,58.01,84,81.1,78.2,69.5,63.7,75.3,86.9,86.12,83.22,80.32,77.42,74.52,71.62,68.72,65.82,62.92,60.02,62.92,65.82,71.62,77.42,83.22,70.84,67.94,59.24,56.34,62.14,67.94,73.74,79.54,72.96,70.06,67.16,64.26,61.36,58.46,55.56,52.66,55.56,58.46,64.26,67.16,72.96,72.18,63.48,54.78,51.88,48.98,63.48,66.38,69.28,68.5,62.7,59.8,56.9,54,51.1,48.2,45.3,48.2,51.1,54,56.9,59.8,62.7,65.6,68.5,64.82,61.92,50.32,44.52,44.52,50.32,53.22,59.02,64.82,61.14,58.24,55.34,52.44,46.64,40.84,37.94,40.84,43.74,46.64,49.54,52.44,55.34,58.24,61.14,60.36,57.46,36.38,53,50.1,41.4,38.5,32.7,29.8,26.9,29.8,32.7,35.6,38.5,41.4,47.2,46.42,43.52,40.62,37.72,34.82,29.02,26.12,23.22,26.12,29.02,31.92,37.72,40.62,43.52,45.64,42.74,39.84,34.04,31.14,28.24,25.34,22.44,22.44,25.34,34.04,36.94,39.84,42.74,33.26,30.36,27.46,24.56,21.66,18.76,15.86,18.76,21.66,24.56,27.46,30.36,33.26,39.06,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,12.18,15.08,17.98,23.78,26.68,31.7,28.8,23,20.1,17.2,14.3,11.4,0,2.9,8.7,11.6,17.4,38.28,35.38,32.48,29.58,26.68,23.78,20.88,17.98,12.18,15.08,17.98,20.88,23.78,26.68,32.48,41.96,36.16,33.26,24.56,21.66,18.76,15.86,18.76,21.66,27.46,30.36,33.26,36.16
n00172,MZN1,16,13,60.91,86.9,84,81.1,72.4,66.6,78.2,84,89.02,86.12,83.22,80.32,77.42,74.52,71.62,68.72,65.82,62.92,65.82,68.72,74.52,80.32,80.32,73.74,70.84,62.14,59.24,65.04,70.84,76.64,76.64,75.86,72.96,70.06,67.16,64.26,61.36,58.46,55.56,58.46,61.36,67.16,70.06,75.86,75.08,66.38,57.68,54.78,51.88,66.38,69.28,72.18,71.4,65.6,62.7,59.8,56.9,54,51.1,48.2,51.1,54,56.9,59.8,62.7,65.6,68.5,65.6,67.72,64.82,53.22,47.42,47.42,53.22,56.12,61.92,61.92,64.04,61.14,58.24,55.34,49.54,43.74,40.84,43.74,46.64,49.54,52.44,55.34,58.24,61.14,58.24,63.26,60.36,39.28,55.9,53,44.3,41.4,35.6,32.7,29.8,32.7,35.6,38.5,41.4,44.3,50.1,49.32,46.42,43.52,40.62,37.72,31.92,29.02,26.12,29.02,31.92,34.82,40.62,43.52,46.42,48.54,45.64,42.74,36.94,34.04,31.14,28.24,25.34,25.34,28.24,36.94,39.84,42.74,39.84,36.16,33.26,30.36,27.46,24.56,21.66,18.76,21.66,24.56,27.46,30.36,33.26,36.16,36.16,38.28,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,15.08,17.98,20.88,26.68,29.58,34.6,31.7,25.9,23,20.1,17.2,14.3,2.9,0,5.8,8.7,14.5,41.18,38.28,35.38,32.48,29.58,26.68,23.78,20.88,15.08,17.98,20.88,23.78,26.68,29.58,35.38,44.86,39.06,36.16,27.46,24.56,21.66,18.76,21.66,24.56,30.36,33.26,36.16,39.06
n00173,MZN1,16,15,66.71,92.7,89.8,86.9,78.2,72.4,84,78.2,94.82,91.92,89.02,86.12,83.22,80.32,77.42,74.52,71.62,68.72,71.62,74.52,80.32,80.32,74.52,79.54,76.64,67.94,65.04,70.84,76.64,76.64,70.84,81.66,78.76,75.86,72.96,70.06,67.16,64.26,61.36,64.26,67.16,72.96,75.86,70.06,80.88,72.18,63.48,60.58,57.68,72.18,69.28,66.38,77.2,71.4,68.5,65.6,62.7,59.8,56.9,54,56.9,59.8,62.7,65.6,68.5,65.6,62.7,59.8,73.52,70.62,59.02,53.22,53.22,59.02,61.92,61.92,56.12,69.84,66.94,64.04,61.14,55.34,49.54,46.64,49.54,52.44,55.34,58.24,61.14,58.24,55.34,52.44,69.06,66.16,45.08,61.7,58.8,50.1,47.2,41.4,38.5,35.6,38.5,41.4,44.3,47.2,50.1,44.3,55.12,52.22,49.32,46.42,43.52,37.72,34.82,31.92,34.82,37.72,40.62,46.42,43.52,40.62,54.34,51.44,48.54,42.74,39.84,36.94,34.04,31.14,31.14,34.04,42.74,39.84,36.94,34.04,41.96,39.06,36.16,33.26,30.36,27.46,24.56,27.46,30.36,33.26,36.16,39.06,36.16,30.36,44.08,41.18,38.28,35.38,32.48,29.58,26.68,23.78,20.88,20.88,23.78,26.68,32.48,35.38,40.4,37.5,31.7,28.8,25.9,23,20.1,8.7,5.8,0,2.9,8.7,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,20.88,23.78,26.68,29.58,32.48,35.38,29.58,50.66,44.86,41.96,33.26,30.36,27.46,24.56,27.46,30.36,36.16,39.06,36.16,33.26
n00174,MZN1,16,16,69.61,95.6,92.7,89.8,81.1,75.3,86.9,75.3,97.72,94.82,91.92,89.02,86.12,83.22,80.32,77.42,74.52,71.62,74.52,77.42,83.22,77.42,71.62,82.44,79.54,70.84,67.94,73.74,79.54,73.74,67.94,84.56,81.66,78.76,75.86,72.96,70.06,67.16,64.26,67.16,70.06,75.86,72.96,67.16,83.78,75.08,66.38,63.48,60.58,69.28,66.38,63.48,80.1,74.3,71.4,68.5,65.6,62.7,59.8,56.9,59.8,62.7,65.6,68.5,65.6,62.7,59.8,56.9,76.42,73.52,61.92,56.12,56.12,61.92,64.82,59.02,53.22,72.74,69.84,66.94,64.04,58.24,52.44,49.54,52.44,55.34,58.24,61.14,58.24,55.34,52.44,49.54,71.96,69.06,47.98,64.6,61.7,53,50.1,44.3,41.4,38.5,41.4,44.3,47.2,50.1,47.2,41.4,58.02,55.12,52.22,49.32,46.42,40.62,37.72,34.82,37.72,40.62,43.52,43.52,40.62,37.72,57.24,54.34,51.44,45.64,42.74,39.84,36.94,34.04,34.04,36.94,39.84,36.94,34.04,31.14,44.86,41.96,39.06,36.16,33.26,30.36,27.46,30.36,33.26,36.16,39.06,36.16,33.26,27.46,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,23.78,23.78,26.68,29.58,35.38,32.48,43.3,40.4,34.6,31.7,28.8,25.9,23,11.6,8.7,2.9,0,5.8,49.88,46.98,44.08,41.18,38.28,35.38,32.48,29.58,23.78,26.68,29.58,32.48,35.38,32.48,26.68,53.56,47.76,44.86,36.16,33.26,30.36,27.46,30.36,33.26,39.06,36.16,33.26,30.36
n00175,MZN1,16,18,75.41,101.4,98.5,95.6,86.9,81.1,81.1,69.5,103.52,100.62,97.72,94.82,91.92,89.02,86.12,83.22,80.32,77.42,80.32,83.22,77.42,71.62,65.82,88.24,85.34,76.64,73.74,79.54,73.74,67.94,62.14,90.36,87.46,84.56,81.66,78.76,75.86,72.96,70.06,72.96,75.86,70.06,67.16,61.36,89.58,80.88,72.18,69.28,66.38,63.48,60.58,57.68,85.9,80.1,77.2,74.3,71.4,68.5,65.6,62.7,65.6,68.5,65.6,62.7,59.8,56.9,54,51.1,82.22,79.32,67.72,61.92,61.92,61.92,59.02,53.22,47.42,78.54,75.64,72.74,69.84,64.04,58.24,55.34,58.24,61.14,58.24,55.34,52.44,49.54,46.64,43.74,77.76,74.86,53.78,70.4,67.5,58.8,55.9,50.1,47.2,44.3,47.2,50.1,47.2,44.3,41.4,35.6,63.82,60.92,58.02,55.12,52.22,46.42,43.52,40.62,43.52,46.42,43.52,37.72,34.82,31.92,63.04,60.14,57.24,51.44,48.54,45.64,42.74,39.84,39.84,42.74,34.04,31.14,28.24,25.34,50.66,47.76,44.86,41.96,39.06,36.16,33.26,36.16,39.06,36.16,33.26,30.36,27.46,21.66,52.78,49.88,46.98,44.08,41.18,38.28,35.38,32.48,29.58,29.58,32.48,35.38,29.58,26.68,49.1,46.2,40.4,37.5,34.6,31.7,28.8,17.4,14.5,8.7,5.8,0,55.68,52.78,49.88,46.98,44.08,41.18,38.28,35.38,29.58,32.48,35.38,32.48,29.58,26.68,20.88,59.36,53.56,50.66,41.96,39.06,36.16,33.26,36.16,39.06,33.26,30.36,27.46,24.56
n00176,MZN1,17,1,19.73,70.28,73.18,76.08,84.78,90.58,102.18,113.78,60.8,63.7,66.6,69.5,72.4,75.3,78.2,81.1,84,86.9,89.8,92.7,98.5,104.3,110.1,68.72,71.62,80.32,83.22,89.02,94.82,100.62,106.42,59.24,62.14,65.04,67.94,70.84,73.74,76.64,79.54,82.44,85.34,91.14,94.04,99.84,52.66,61.36,70.06,72.96,75.86,90.36,93.26,96.16,48.98,54.78,57.68,60.58,63.48,66.38,69.28,72.18,75.08,77.98,80.88,83.78,86.68,89.58,92.48,95.38,45.3,48.2,59.8,65.6,71.4,77.2,80.1,85.9,91.7,41.62,44.52,47.42,50.32,56.12,61.92,64.82,67.72,70.62,73.52,76.42,79.32,82.22,85.12,88.02,35.04,37.94,51.66,27.68,30.58,39.28,42.18,47.98,50.88,53.78,56.68,59.58,62.48,65.38,68.28,74.08,26.9,29.8,32.7,35.6,38.5,44.3,47.2,50.1,53,55.9,58.8,64.6,67.5,70.4,20.32,23.22,26.12,31.92,34.82,37.72,40.62,43.52,49.32,52.22,60.92,63.82,66.72,69.62,25.34,28.24,31.14,34.04,36.94,39.84,42.74,45.64,48.54,51.44,54.34,57.24,60.14,65.94,15.86,18.76,21.66,24.56,27.46,30.36,33.26,36.16,39.06,39.06,41.96,44.86,50.66,53.56,12.18,15.08,20.88,23.78,26.68,29.58,32.48,38.28,41.18,46.98,49.88,55.68,0,2.9,5.8,8.7,11.6,14.5,17.4,20.3,31.7,34.6,37.5,40.4,43.3,46.2,52,9.28,15.08,17.98,26.68,29.58,32.48,35.38,38.28,41.18,46.98,49.88,52.78,55.68
n00177,MZN1,17,2,22.63,73.18,76.08,78.98,87.68,87.68,99.28,110.88,63.7,66.6,69.5,72.4,75.3,78.2,81.1,84,86.9,84,86.9,89.8,95.6,101.4,107.2,71.62,74.52,83.22,80.32,86.12,91.92,97.72,103.52,62.14,65.04,67.94,70.84,73.74,76.64,79.54,76.64,79.54,82.44,88.24,91.14,96.94,55.56,64.26,72.96,75.86,72.96,87.46,90.36,93.26,51.88,57.68,60.58,63.48,66.38,69.28,72.18,69.28,72.18,75.08,77.98,80.88,83.78,86.68,89.58,92.48,48.2,51.1,62.7,68.5,68.5,74.3,77.2,83,88.8,44.52,47.42,50.32,53.22,59.02,64.82,61.92,64.82,67.72,70.62,73.52,76.42,79.32,82.22,85.12,37.94,40.84,54.56,30.58,33.48,42.18,45.08,50.88,53.78,50.88,53.78,56.68,59.58,62.48,65.38,71.18,29.8,32.7,35.6,38.5,41.4,47.2,50.1,47.2,50.1,53,55.9,61.7,64.6,67.5,23.22,26.12,29.02,34.82,37.72,40.62,43.52,46.42,46.42,49.32,58.02,60.92,63.82,66.72,28.24,31.14,34.04,36.94,39.84,42.74,39.84,42.74,45.64,48.54,51.44,54.34,57.24,63.04,18.76,21.66,24.56,27.46,30.36,33.26,36.16,39.06,36.16,36.16,39.06,41.96,47.76,50.66,15.08,17.98,23.78,26.68,29.58,32.48,35.38,35.38,38.28,44.08,46.98,52.78,2.9,0,2.9,5.8,8.7,11.6,14.5,17.4,28.8,31.7,34.6,37.5,40.4,43.3,49.1,12.18,17.98,20.88,29.58,32.48,35.38,32.48,35.38,38.28,44.08,46.98,49.88,52.78
n00178,MZN1,17,3,25.53,76.08,78.98,81.88,90.58,84.78,96.38,107.98,66.6,69.5,72.4,75.3,78.2,81.1,84,86.9,84,81.1,84,86.9,92.7,98.5,104.3,74.52,77.42,80.32,77.42,83.22,89.02,94.82,100.62,65.04,67.94,70.84,73.74,76.64,79.54,76.64,73.74,76.64,79.54,85.34,88.24,94.04,58.46,67.16,75.86,72.96,70.06,84.56,87.46,90.36,54.78,60.58,63.48,66.38,69.28,72.18,69.28,66.38,69.28,72.18,75.08,77.98,80.88,83.78,86.68,89.58,51.1,54,65.6,65.6,65.6,71.4,74.3,80.1,85.9,47.42,50.32,53.22,56.12,61.92,61.92,59.02,61.92,64.82,67.72,70.62,73.52,76.42,79.32,82.22,40.84,43.74,57.46,33.48,36.38,45.08,47.98,53.78,50.88,47.98,50.88,53.78,56.68,59.58,62.48,68.28,32.7,35.6,38.5,41.4,44.3,50.1,47.2,44.3,47.2,50.1,53,58.8,61.7,64.6,26.12,29.02,31.92,37.72,40.62,43.52,46.42,43.52,43.52,46.42,55.12,58.02,60.92,63.82,31.14,34.04,36.94,39.84,42.74,39.84,36.94,39.84,42.74,45.64,48.54,51.44,54.34,60.14,21.66,24.56,27.46,30.36,33.26,36.16,39.06,36.16,33.26,33.26,36.16,39.06,44.86,47.76,17.98,20.88,26.68,29.58,32.48,35.38,32.48,32.48,35.38,41.18,44.08,49.88,5.8,2.9,0,2.9,5.8,8.7,11.6,14.5,25.9,28.8,31.7,34.6,37.5,40.4,46.2,15.08,20.88,23.78,32.48,35.38,32.48,29.58,32.48,35.38,41.18,44.08,46.98,49.88
