PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID
44506,167046725,654,MZN2,4,4,1,R,1,4167417607
44506,167046725,654,MZN2,4,4,1,R,1,4167417607
44506,167061915,655,MZN2,4,5,1,L,1,4167417607
44506,167061916,656,MZN2,4,5,2,R,1,4167417607
44506,167061916,656,MZN2,4,5,2,R,1,4167417607
44506,167068008,657,MZN2,4,6,1,R,1,4167417607
44506,167068008,657,MZN2,4,6,1,R,1,4167417607
44506,167058185,659,MZN2,4,7,1,L,1,4167417607
44506,167058185,659,MZN2,4,7,1,L,1,4167417607
44506,167058185,659,MZN2,4,7,1,L,1,4167417607
44506,167058185,659,MZN2,4,7,1,L,1,4167417607
44506,167068023,658,MZN2,4,7,1,L,1,4167417607
44506,167046734,660,MZN2,4,9,1,R,1,4167417607
44506,167046734,660,MZN2,4,9,1,R,1,4167417607
44506,167046734,660,MZN2,4,9,1,R,1,4167417607
44506,167061938,661,MZN2,4,9,2,L,1,4167417607
44506,167061938,661,MZN2,4,9,2,L,1,4167417607
44506,167063641,662,MZN2,4,12,1,L,1,4167417607
44506,167063641,662,MZN2,4,12,1,L,1,4167417607
44506,167063641,662,MZN2,4,12,1,L,1,4167417607
44506,167063641,662,MZN2,4,12,1,L,1,4167417607
44506,167070282,663,MZN2,4,12,2,L,1,4167417607
44506,167070282,663,MZN2,4,12,2,L,1,4167417607
44506,167052693,664,MZN2,4,14,2,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567436652,665,MZN2,4,15,1,L,1,4167417607
44506,567279523,666,MZN2,4,15,2,L,1,4167417607
44506,567279523,666,MZN2,4,15,2,L,1,4167417607
43735,167045419,667,MZN2,5,4,2,L,1,4167417598
43735,167070260,668,MZN2,5,6,1,R,1,4167417598
43735,167070260,668,MZN2,5,6,1,R,1,4167417598
43735,167070260,668,MZN2,5,6,1,R,1,4167417598
44498,167070260,669,MZN2,5,6,1,R,1,4167417571
43735,167059452,670,MZN2,5,6,2,R,1,4167417598
43735,167070261,672,MZN2,5,7,1,R,1,4167417598
